tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	4572-55	4572-55	4572-55	4572-55	4572-55	4572-55 sp002084765	NrdJ	NrdJm
Bacteria	4572-55	4572-55	J002	J002	J002	J002 sp003697105	NrdJ	NrdJo
Bacteria	AABM5-125-24	RPQS01	RPQS01	RPQS01	RPQS01	RPQS01 sp003818605	NrdJ	NrdJd
Bacteria	AABM5-125-24	RPQS01	RPQS01	RPQS01	JABWCQ01	JABWCQ01 sp013360195	NrdJ	NrdJd
Bacteria	AABM5-125-24	AABM5-125-24	AABM5-125-24	AABM5-125-24	JABMRV01	JABMRV01 sp013202285	NrdJ	NrdJuc02
Bacteria	AABM5-125-24	B3-LCP	B3-LCP	B3-LCP	SURF-9	SURF-9 sp003599535	NrdJ	NrdJuc02
Bacteria	AABM5-125-24	JABMRZ01	JABMRZ01	JABMRZ01	JABMRZ01	JABMRZ01 sp013202315	NrdJ	NrdJuc02
Bacteria	Abyssubacteria	SURF-5	SURF-5	SURF-5	SURF-5	SURF-5 sp003598085	NrdJ	NrdJuc02
Bacteria	Abyssubacteria	SURF-5	SURF-5	SURF-5	SURF-17	SURF-17 sp003598055	NrdJ	NrdJuc02
Bacteria	Acidobacteriota	Holophagae	GCA-2747255	GCA-2747255	GCA-2747255	GCA-2747255 sp002747255	NrdA	NrdAg
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_C	Granulicella_C sp009914315	NrdA	NrdAn
Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	OLB17	OLB17 sp003223025	NrdA	NrdAn
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter sp000688615	NrdA	NrdAn
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter sp000421065	NrdA	NrdAn
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Cellulomonas	Cellulomonas oligotrophica	NrdA	NrdAe
Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	MedAcidi-G1	MedAcidi-G1 sp002699555	NrdA	NrdAe
Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	MedAcidi-G1	MedAcidi-G1 sp002699555	NrdA	NrdAe
Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina sp902519215	NrdA	NrdAg
Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Actinomarina	Actinomarina sp902521955	NrdA	NrdAg
Archaea	Aenigmatarchaeota	Aenigmatarchaeia	QMZP01	QMZZ01	QMZZ01	QMZZ01 sp003663445	NrdD	NrdDd
Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	Aenigmatarchaeaceae	CS1-C013	CS1-C013 sp011773475	NrdD	NrdDd
Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	EX4484-224	EX4484-224	EX4484-224 sp002254545	NrdD	NrdDd
Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	SCSR01	SCSR01	SCSR01 sp004297575	NrdJ	NrdJd
